date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1989-12-01,381.7,16.932,6462.944399999999,8.45,4.639602319801162,0.26267402153927755,0.04254112308563762,0.30532688910371863
1990-01-01,377.0,16.9633,6395.1641,8.23,5.198019801980203,-1.2313335079905618,0.1848570753602674,-1.0487526397411018
1990-02-01,383.6,16.9895,6517.1722,8.24,5.263157894736836,1.7506631299734732,0.1544510796837928,1.9078181277631279
1990-03-01,363.8,17.1164,6226.94632,8.28,5.237315875613735,-5.161626694473409,0.7469319285440923,-4.453248603742588
1990-04-01,363.3,17.2943,6283.01919,8.26,4.711616571892785,-0.1374381528312263,1.03935406978104,0.9004874479149105
1990-05-01,358.4,17.3245,6209.1008,8.18,4.365400161681476,-1.3487475915221703,0.17462400906658182,-1.176478819572091
1990-06-01,357.0,17.421,6219.297,8.29,4.673650282030639,-0.3906249999999889,0.5570146324569203,0.16421379404887304
1990-07-01,366.7,17.4119,6384.94373,8.15,4.819277108433728,2.717086834733884,-0.05223580735893574,2.663431735130195
1990-08-01,367.7,17.3465,6378.30805,8.13,5.702811244979911,0.2727024815925905,-0.37560518955427336,-0.10392699263459537
1990-09-01,356.3,17.8595,6363.33985,8.2,6.169871794871806,-3.10035354908893,2.9573689216845,-0.23467351972752404
1990-10-01,348.7,18.0736,6302.264319999999,8.11,6.379585326953752,-2.133033960145947,1.1988017581679111,-0.9598030505945876
1990-11-01,358.7,18.0975,6491.5732499999995,7.81,6.195393169181873,2.867794665901924,0.13223707507081794,3.003824028757962
1990-12-01,360.2,18.1272,6529.417439999999,7.31,6.254948535233562,0.41817674937274507,0.1641110650642208,0.5829740887542068
1991-01-01,361.7,18.339,6633.216299999999,6.91,5.647058823529405,0.41643531371460263,1.1684099033496542,1.5897108885107425
1991-02-01,354.5,18.86,6685.87,6.25,5.312500000000009,-1.9905999447055511,2.840940073068321,0.7937883768391663
1991-03-01,353.9,19.2429,6810.062309999999,6.12,4.821150855365497,-0.1692524682651686,2.0302226935312806,1.8575340232460213
1991-04-01,344.3,19.9064,6853.773520000001,5.91,4.809930178432875,-2.7126306866346317,3.448024985838938,0.6418621153556181
1991-05-01,338.6,20.5186,6947.59796,5.78,5.034856700232382,-1.655532965437112,3.0753928384841034,1.368945730789184
1991-06-01,337.2,21.062,7102.106400000001,5.9,4.695919938414161,-0.41346721795629815,2.648328833351221,2.223911643845322
1991-07-01,340.8,25.6127,8728.80816,5.82,4.367816091954024,1.067615658362997,21.606210236444777,22.904497178470873
